sampleid	LibraryName	SampleName	Subject_ID
SRR13191478	S.170808.00483	S.170808.00483_400	CDM_295
SRR13191477	S.170808.00485	S.170808.00485_197	CDM_296
SRR13191476	S.170808.00486	S.170808.00486_372	CDM_297
SRR13191474	S.170808.00488	S.170808.00488_85	CDM_298
SRR13191473	S.170808.00489	S.170808.00489_130	CDM_299
SRR13191472	S.170808.00491	S.170808.00491_296	CDM_111
SRR13191471	S.170808.00493	S.170808.00493_322	CDM_300
SRR13191470	S.170808.00495	S.170808.00495_459	CDM_301
SRR13191469	S.170808.00496	S.170808.00496_152	CDM_302
SRR13191468	S.170808.00498	S.170808.00498_489	CDM_303
SRR13191467	S.170808.00500	S.170808.00500_210	CDM_235
SRR13191466	S.170808.00502	S.170808.00502_176	CDM_304
SRR13191465	S.170808.00504	S.170808.00504_44	CDM_305
SRR13191463	S.170808.00547	S.170808.00547_590	CDM_327
SRR13191462	S.170808.00549	S.170808.00549_517	CDM_328
SRR13191461	S.170808.00551	S.170808.00551_183	CDM_329
SRR13191460	S.170808.00553	S.170808.00553_587	CDM_330
SRR13191459	S.170808.00555	S.170808.00555_22	CDM_331
SRR13191458	S.170808.00556	S.170808.00556_234	CDM_332
SRR13191457	S.170808.00557	S.170808.00557_547	CDM_333
SRR13191456	S.170808.00559	S.170808.00559_658	CDM_334
SRR13191454	S.170808.00560	S.170808.00560_290	CDM_335
